"","posteam","season","game_id","home_team","away_team","home_score","away_score","touchdown","fourth_down_attempt","punt_inside_twenty","own_kickoff_recovery","extra_point_good","field_goal_made","return_touchdown","two_point_success","pass_touchdown","rush_touchdown","interception","fumble_lost","safety","offensive_retention","defensive_retention","special_retention"
"120","ARI",2011,"2011_13_DAL_ARI","ARI","DAL",19,13,2,0,0,0,1,2,0,0,1,1,0,0,0,18,16,3
"121","ARI",2011,"2011_05_ARI_MIN","MIN","ARI",34,10,1,4,2,0,1,1,0,0,0,1,3,1,0,18,16,3
"122","ARI",2011,"2011_15_CLE_ARI","ARI","CLE",20,17,2,0,4,0,2,2,0,0,1,1,1,0,0,18,16,3
"123","ARI",2011,"2011_02_ARI_WAS","WAS","ARI",22,21,3,0,1,0,3,0,0,0,2,1,1,1,0,18,16,3
"124","ARI",2011,"2011_16_ARI_CIN","CIN","ARI",23,16,2,2,2,0,1,1,0,0,2,0,3,0,0,18,16,3
"125","ARI",2011,"2011_11_ARI_SF","SF","ARI",23,7,1,2,1,0,1,0,0,0,1,0,3,1,0,18,16,3
"126","ARI",2011,"2011_12_ARI_STL","LA","ARI",20,23,2,0,2,0,2,3,1,0,0,1,2,1,0,18,16,3
"127","ARI",2011,"2011_03_ARI_SEA","SEA","ARI",13,10,1,1,0,0,1,1,0,0,1,0,2,0,0,18,16,3
"128","ARI",2011,"2011_07_PIT_ARI","ARI","PIT",20,32,3,1,2,0,2,0,0,0,2,1,1,0,1,18,16,3
"129","ARI",2012,"2012_13_ARI_NYJ","NYJ","ARI",7,6,0,2,3,0,0,2,0,0,0,0,1,0,0,17,19,3
"130","ARI",2012,"2012_11_ARI_ATL","ATL","ARI",23,19,2,1,3,0,1,4,1,0,0,1,0,1,0,17,19,3
"131","ARI",2012,"2012_07_ARI_MIN","MIN","ARI",21,14,3,2,5,0,2,0,1,0,1,1,1,1,0,17,19,3
"132","ARI",2012,"2012_03_PHI_ARI","ARI","PHI",27,6,2,1,2,0,3,2,0,0,2,0,0,1,0,17,19,3
"133","ARI",2012,"2012_12_STL_ARI","ARI","LA",17,31,4,2,1,0,2,1,2,0,0,2,4,0,0,17,19,3
"134","ARI",2012,"2012_08_SF_ARI","ARI","SF",3,24,0,4,1,0,0,1,0,0,0,0,1,0,0,17,19,3
"135","ARI",2012,"2012_09_ARI_GB","GB","ARI",31,17,2,2,4,0,2,1,0,0,1,1,1,0,0,17,19,3
"136","ARI",2012,"2012_05_ARI_STL","LA","ARI",17,3,0,2,3,0,0,1,0,0,0,0,0,1,0,17,19,3
"137","ARI",2012,"2012_15_DET_ARI","ARI","DET",38,10,3,0,6,0,5,1,0,0,0,3,1,1,0,17,19,3
"138","ARI",2012,"2012_17_ARI_SF","SF","ARI",27,13,1,1,2,0,1,2,0,0,1,0,1,1,0,17,19,3
"139","ARI",2012,"2012_06_BUF_ARI","ARI","BUF",16,19,1,2,1,0,1,3,0,0,1,0,2,0,1,17,19,3
"140","ARI",2012,"2012_01_SEA_ARI","ARI","SEA",20,16,2,0,2,0,2,2,0,0,1,1,1,1,0,17,19,3
"141","ARI",2012,"2012_04_MIA_ARI","ARI","MIA",24,21,3,2,3,0,3,1,0,0,3,0,2,0,0,17,19,3
"142","ARI",2012,"2012_14_ARI_SEA","SEA","ARI",58,0,1,1,2,0,0,0,1,0,0,0,4,2,0,17,19,3
"143","ARI",2012,"2012_02_ARI_NE","NE","ARI",18,20,2,0,2,0,2,2,0,0,1,1,0,2,0,17,19,3
"144","ARI",2012,"2012_16_CHI_ARI","ARI","CHI",13,28,2,2,6,0,1,2,2,0,0,0,2,2,0,17,19,3
"145","ARI",2013,"2013_01_ARI_STL","LA","ARI",27,24,2,0,3,0,3,1,0,0,2,0,1,1,0,15,10,3
"146","ARI",2013,"2013_02_DET_ARI","ARI","DET",25,21,3,0,4,0,1,4,1,0,1,1,1,0,0,15,10,3
"147","ARI",2013,"2013_17_SF_ARI","ARI","SF",20,23,2,4,0,0,2,2,0,0,2,0,1,1,0,15,10,3
"148","ARI",2013,"2013_04_ARI_TB","TB","ARI",10,13,1,0,3,0,1,2,0,0,1,0,2,1,0,15,10,3
"149","ARI",2013,"2013_16_ARI_SEA","SEA","ARI",10,17,1,0,3,0,0,3,0,1,1,0,4,0,0,15,10,3
"150","ARI",2013,"2013_07_SEA_ARI","ARI","SEA",22,34,2,2,1,0,1,3,0,0,1,1,2,0,0,15,10,3
"151","ARI",2013,"2013_12_IND_ARI","ARI","IND",40,11,3,0,2,0,4,4,0,0,2,1,0,0,0,15,10,3
"152","ARI",2013,"2013_06_ARI_SF","SF","ARI",32,20,3,1,2,0,2,0,0,0,2,1,2,2,1,15,10,3
"153","ARI",2013,"2013_14_STL_ARI","ARI","LA",30,10,3,0,3,0,4,0,0,0,1,2,0,1,0,15,10,3
"154","ARI",2013,"2013_05_CAR_ARI","ARI","CAR",22,6,2,0,2,0,2,2,0,0,1,1,3,0,0,15,10,3
"155","ARI",2013,"2013_11_ARI_JAX","JAX","ARI",14,27,3,0,1,0,3,2,0,0,2,1,0,0,0,15,10,3
"156","ARI",2013,"2013_03_ARI_NO","NO","ARI",31,7,1,0,4,0,1,0,0,0,0,1,2,0,0,15,10,3
"157","ARI",2013,"2013_15_ARI_TEN","TEN","ARI",34,37,3,0,1,1,4,3,0,0,1,2,0,0,0,15,10,3
"158","ARI",2013,"2013_08_ATL_ARI","ARI","ATL",27,13,3,0,1,1,3,2,0,0,2,1,1,0,0,15,10,3
"159","ARI",2013,"2013_10_HOU_ARI","ARI","HOU",27,24,2,0,3,0,3,2,0,0,2,0,1,2,0,15,10,3
"160","ARI",2013,"2013_13_ARI_PHI","PHI","ARI",24,21,3,2,2,0,3,0,0,0,3,0,2,1,0,15,10,3
"161","ARI",2014,"2014_15_ARI_STL","LA","ARI",6,12,0,0,6,0,0,4,0,0,0,0,0,0,0,15,18,2
"162","ARI",2014,"2014_07_ARI_OAK","LV","ARI",13,24,3,1,2,0,3,1,0,0,2,1,1,0,0,15,18,2
"163","ARI",2014,"2014_02_ARI_NYG","NYG","ARI",14,25,1,0,2,0,1,4,0,0,0,1,0,0,0,15,18,2
"164","ARI",2014,"2014_10_STL_ARI","ARI","LA",31,14,2,0,1,0,4,1,0,0,1,1,1,0,0,15,18,2
"165","ARI",2014,"2014_17_ARI_SF","SF","ARI",20,17,2,0,3,0,2,1,0,0,2,0,3,0,0,15,18,2
"166","ARI",2014,"2014_11_DET_ARI","ARI","DET",14,6,2,0,3,0,2,0,0,0,2,0,2,0,0,15,18,2
"167","ARI",2014,"2014_05_ARI_DEN","DEN","ARI",41,20,2,0,1,0,2,2,0,0,1,1,0,0,0,15,18,2
"168","ARI",2014,"2014_01_SD_ARI","ARI","LAC",18,17,2,0,0,0,0,2,0,0,2,0,0,2,0,15,18,2
"169","ARI",2014,"2014_16_SEA_ARI","ARI","SEA",6,35,0,1,2,0,0,2,0,0,0,0,1,0,0,15,18,2
"170","ARI",2014,"2014_14_KC_ARI","ARI","KC",17,14,1,0,2,0,0,3,0,1,1,0,0,0,0,15,18,2
"171","ARI",2014,"2014_03_SF_ARI","ARI","SF",23,14,2,1,0,0,2,3,0,0,2,0,0,1,0,15,18,2
"172","ARI",2014,"2014_06_WAS_ARI","ARI","WAS",30,20,2,0,4,0,3,3,0,0,2,0,0,0,0,15,18,2
"173","ARI",2014,"2014_08_PHI_ARI","ARI","PHI",24,20,3,1,3,0,3,1,0,0,2,1,0,1,0,15,18,2
"174","ARI",2014,"2014_12_ARI_SEA","SEA","ARI",19,3,0,0,1,0,0,1,0,0,0,0,1,0,0,15,18,2
"175","ARI",2014,"2014_13_ARI_ATL","ATL","ARI",29,18,1,0,2,0,1,1,0,1,1,0,2,1,0,15,18,2
"176","ARI",2014,"2014_09_ARI_DAL","DAL","ARI",17,28,5,0,3,0,4,0,1,0,3,1,1,0,0,15,18,2
"177","ARI",2015,"2015_05_ARI_DET","DET","ARI",17,42,6,0,3,0,6,0,0,0,3,3,0,0,0,19,16,3
"178","ARI",2015,"2015_13_ARI_STL","LA","ARI",3,27,3,1,2,0,3,2,0,0,2,1,0,0,0,19,16,3
"179","ARI",2015,"2015_01_NO_ARI","ARI","NO",31,19,4,0,2,0,4,1,0,0,3,1,0,1,0,19,16,3
"180","ARI",2015,"2015_15_ARI_PHI","PHI","ARI",17,40,4,0,2,0,4,2,0,0,1,3,0,0,0,19,16,3
"181","ARI",2015,"2015_04_STL_ARI","ARI","LA",22,24,1,2,0,0,1,5,0,0,1,0,1,2,0,19,16,3
"182","ARI",2015,"2015_10_ARI_SEA","SEA","ARI",32,39,5,0,1,0,4,3,1,0,3,1,1,2,0,19,16,3
"183","ARI",2015,"2015_16_GB_ARI","ARI","GB",38,8,3,0,3,0,5,1,0,0,2,1,1,1,0,19,16,3
"184","ARI",2015,"2015_02_ARI_CHI","CHI","ARI",23,48,6,1,2,0,6,0,1,0,4,1,1,0,0,19,16,3
"185","ARI",2015,"2015_03_SF_ARI","ARI","SF",47,7,4,1,2,0,6,1,0,0,2,2,1,0,0,19,16,3
"186","ARI",2015,"2015_14_MIN_ARI","ARI","MIN",23,20,2,1,1,0,2,3,0,0,2,0,0,0,0,19,16,3
"187","ARI",2015,"2015_06_ARI_PIT","PIT","ARI",25,13,1,1,1,0,1,2,0,0,1,0,2,1,0,19,16,3
"188","ARI",2015,"2015_11_CIN_ARI","ARI","CIN",34,31,4,0,3,0,4,2,0,0,4,0,2,0,0,19,16,3
"189","ARI",2015,"2015_12_ARI_SF","SF","ARI",13,19,2,1,0,0,1,2,0,0,0,2,0,1,0,19,16,3
"190","ARI",2015,"2015_07_BAL_ARI","ARI","BAL",26,18,3,0,0,0,2,2,0,0,2,1,0,1,0,19,16,3
"191","ARI",2015,"2015_17_SEA_ARI","ARI","SEA",6,36,1,1,0,0,0,0,0,0,1,0,3,0,0,19,16,3
"192","ARI",2015,"2015_08_ARI_CLE","CLE","ARI",20,34,4,0,0,0,4,2,0,0,4,0,1,3,0,19,16,3
"193","ARI",2016,"2016_14_ARI_MIA","MIA","ARI",26,23,3,0,1,0,0,1,0,1,2,1,2,3,0,21,25,3
"194","ARI",2016,"2016_02_TB_ARI","ARI","TB",40,7,4,0,3,0,4,2,0,0,3,1,0,0,0,21,25,3
"195","ARI",2016,"2016_05_ARI_SF","SF","ARI",21,33,4,0,6,0,4,1,0,0,2,2,0,0,0,21,25,3
"196","ARI",2016,"2016_13_WAS_ARI","ARI","WAS",31,23,4,1,0,0,4,1,0,0,3,1,0,0,0,21,25,3
"197","ARI",2016,"2016_12_ARI_ATL","ATL","ARI",38,19,2,2,1,0,1,2,0,0,2,0,1,0,0,21,25,3
"198","ARI",2016,"2016_06_NYJ_ARI","ARI","NYJ",28,3,4,0,2,0,4,0,0,0,1,3,0,0,0,21,25,3
"199","ARI",2016,"2016_07_SEA_ARI","ARI","SEA",6,6,0,1,3,0,0,2,0,0,0,0,0,0,0,21,25,3
"200","ARI",2016,"2016_04_LA_ARI","ARI","LA",13,17,1,0,1,0,1,2,0,0,1,0,3,2,0,21,25,3
"201","ARI",2016,"2016_15_NO_ARI","ARI","NO",41,48,5,1,1,0,5,0,0,0,2,3,0,2,0,21,25,3
"202","ARI",2016,"2016_08_ARI_CAR","CAR","ARI",30,20,4,1,1,0,2,0,1,0,3,0,1,1,0,21,25,3
