season,away_team,posteam,X,game_id,home_team,home_score,away_score,touchdown,fourth_down_attempt,punt_inside_twenty,own_kickoff_recovery,extra_point_good,field_goal_made,return_touchdown,two_point_success,pass_touchdown,rush_touchdown,interception,fumble_lost,safety,offensive_retention,defensive_retention,special_retention,ishome,win,win_last,win_sum_3_current_full_window,win_sum_5_current_full_window,win_3_last,win_5_last,win_last_home,win_last_away,win_streak_ending_current_game,win_streak,punt_inside_twenty_last,punt_inside_twenty_sum_3_current_full_window,punt_inside_twenty_sum_5_current_full_window,punt_inside_twenty_3_last,punt_inside_twenty_5_last,exp_good_last,exp_good_sum_3_current_full_window,exp_good_sum_5_current_full_window,exp_good_3_last,exp_good_5_last,field_goal_last,field_goal_sum_3_current_full_window,field_goal_sum_5_current_full_window,field_goal_3_last,field_goal_5_last,ret_td_last,ret_td_sum_3_current_full_window,ret_td_sum_5_current_full_window,ret_td_3_last,ret_td_5_last,twop_last,twop_sum_3_current_full_window,twop_sum_5_current_full_window,twop_3_last,twop_5_last,pass_td_last,pass_td_sum_3_current_full_window,pass_td_sum_5_current_full_window,pass_td_3_last,pass_td_5_last,rush_td_last,rush_td_sum_3_current_full_window,rush_td_sum_5_current_full_window,rush_td_3_last,rush_td_5_last,int_last,int_sum_3_current_full_window,int_sum_5_current_full_window,int_3_last,int_5_last,fumble_last,fumble_sum_3_current_full_window,fumble_sum_5_current_full_window,fumble_3_last,fumble_5_last,safety_last,safety_sum_3_current_full_window,safety_sum_5_current_full_window,safety_3_last,safety_5_last,off_ret,def_ret,spec_ret,opponent,new_qb,new_coach,game_id_away,off_ret_away,def_ret_away,spec_ret_away,new_coach_away,touchdown_away,extra_point_good_away,field_goal_made_away,two_point_success_away
2004,DEN,JAX,4771,2004_02_DEN_JAX,JAX,7,6,1,0,4,0,1,0,0,0,1,0,0,0,0,24,15,1,1,1,1,NA,NA,NA,NA,1,0,2,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,24,15,1,DEN,0,0,2004_04_DEN_TB,20,16,2,0,1,1,3,0
2004,HOU,DET,3403,2004_02_HOU_DET,DET,28,16,4,0,0,0,4,0,1,0,3,0,1,0,0,19,19,2,1,1,1,NA,NA,NA,NA,1,0,2,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,19,19,2,HOU,0,0,2004_02_HOU_DET,23,19,2,0,2,1,1,0
2004,IND,TEN,10199,2004_02_IND_TEN,TEN,17,31,2,3,0,0,2,1,0,0,0,2,1,1,0,20,20,2,1,0,1,NA,NA,NA,NA,1,0,0,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,20,20,2,IND,1,0,2004_08_IND_KC,20,20,2,0,5,5,0,0
2004,MIA,CIN,2044,2004_02_MIA_CIN,CIN,16,13,0,0,2,0,1,3,0,0,0,0,1,1,0,20,14,1,1,1,0,NA,NA,NA,NA,0,1,1,0,2,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,20,14,1,MIA,1,0,2004_14_MIA_DEN,13,17,2,1,2,2,1,0
2004,MIN,PHI,8512,2004_02_MIN_PHI,PHI,27,16,3,0,1,0,3,2,0,0,2,1,0,1,0,18,17,2,1,1,1,NA,NA,NA,NA,1,0,2,1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,4,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,18,17,2,MIN,1,1,2004_02_MIN_PHI,19,17,2,0,1,1,3,0
2004,NE,ARI,7,2004_02_NE_ARI,ARI,12,23,1,1,1,0,0,2,0,0,0,1,2,0,0,15,12,2,1,0,0,NA,NA,NA,NA,0,1,0,0,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,15,12,2,NE,1,1,2004_15_NE_MIA,19,22,1,0,4,4,0,0
2004,NYJ,LAC,5792,2004_02_NYJ_SD,LAC,28,34,4,2,0,0,4,0,1,0,1,2,2,1,0,20,16,1,1,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,20,16,1,NYJ,0,0,2004_04_NYJ_MIA,20,16,1,0,1,2,1,0
2004,PIT,BAL,684,2004_02_PIT_BAL,BAL,30,13,2,0,3,0,3,3,0,0,0,2,0,0,0,21,21,3,1,1,0,NA,NA,NA,NA,0,1,1,0,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,21,21,3,PIT,0,0,2004_03_PIT_MIA,22,20,1,0,1,1,2,0
2004,SEA,TB,9860,2004_02_SEA_TB,TB,6,10,0,0,2,0,0,2,0,0,0,0,2,1,0,15,16,1,1,0,0,NA,NA,NA,NA,0,1,0,0,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,15,16,1,SEA,1,0,2004_06_SEA_NE,27,17,2,0,1,0,4,1
2004,SF,NO,7494,2004_02_SF_NO,NO,30,27,3,0,3,0,3,3,0,0,3,0,0,1,0,22,20,2,1,1,0,NA,NA,NA,NA,0,1,1,0,3,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,22,20,2,SF,1,0,2004_06_SF_NYJ,22,17,1,0,2,2,0,0
